Input_Task,Reasoning_Prompts
Rewrite the AI Ethics section in manual.docx and then set font to Arial.,"1. Use modify_text_of_doc(filename='manual.docx', topic='AI Ethics').
2. Use modify_formatting_of_doc(filename='manual.docx', request='set font to Arial')."
"I need a new slide for AI Ethics at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='AI Ethics', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='AI Ethics')."
"I need a new slide for AI Ethics at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='AI Ethics', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='AI Ethics')."
"I need a new slide for Safety Protocols at the start of quarterly_review.slides, then update its content.","1. Use insert_slide_tool(topic='Safety Protocols', filename='quarterly_review.slides', index=1).
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Safety Protocols')."
Find the slide about Safety Protocols in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Safety Protocols') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
"I need a new slide for AI Ethics at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='AI Ethics', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='AI Ethics')."
"I need a new slide for AI Ethics at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='AI Ethics', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='AI Ethics')."
Locate the Competitor Analysis slide in pitch_deck.pptx and update its content.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='Competitor Analysis') to identify the target slide.
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Competitor Analysis')."
"I need a new slide for Budget at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='Budget', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Budget')."
Locate the Safety Protocols slide in final_presentation.pptx and update its content.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Safety Protocols') to identify the target slide.
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Safety Protocols')."
Find the slide about Budget in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Budget') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
Find the slide about AI Ethics in pitch_deck.pptx and delete it.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='AI Ethics') to locate the slide index.
2. Use remove_slide_tool(filename='pitch_deck.pptx', index=`found_index`)."
"I need a new slide for AI Ethics at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='AI Ethics', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='AI Ethics')."
"I need a new slide for AI Ethics at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='AI Ethics', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='AI Ethics')."
Locate the Competitor Analysis slide in pitch_deck.pptx and update its content.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='Competitor Analysis') to identify the target slide.
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Competitor Analysis')."
Locate the AI Ethics slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='AI Ethics') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='AI Ethics')."
Locate the Q3 Revenue slide in pitch_deck.pptx and update its content.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='Q3 Revenue') to identify the target slide.
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Q3 Revenue')."
Find the slide about Competitor Analysis in pitch_deck.pptx and delete it.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='Competitor Analysis') to locate the slide index.
2. Use remove_slide_tool(filename='pitch_deck.pptx', index=`found_index`)."
Find the slide about Budget in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Budget') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
"I need a new slide for AI Ethics at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='AI Ethics', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='AI Ethics')."
"I need a new slide for Safety Protocols at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='Safety Protocols', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Safety Protocols')."
Locate the Safety Protocols slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Safety Protocols') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Safety Protocols')."
Rewrite the Budget section in manual.docx and then make text red.,"1. Use modify_text_of_doc(filename='manual.docx', topic='Budget').
2. Use modify_formatting_of_doc(filename='manual.docx', request='make text red')."
"I need a new slide for Budget at the start of final_presentation.pptx, then update its content.","1. Use insert_slide_tool(topic='Budget', filename='final_presentation.pptx', index=1).
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Budget')."
Rewrite the Safety Protocols section in manual.docx and then set font to Arial.,"1. Use modify_text_of_doc(filename='manual.docx', topic='Safety Protocols').
2. Use modify_formatting_of_doc(filename='manual.docx', request='set font to Arial')."
Find the slide about Safety Protocols in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Safety Protocols') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
Rewrite the Safety Protocols section in contract.docx and then increase margin size.,"1. Use modify_text_of_doc(filename='contract.docx', topic='Safety Protocols').
2. Use modify_formatting_of_doc(filename='contract.docx', request='increase margin size')."
Find the slide about Competitor Analysis in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Competitor Analysis') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
Find the slide about Budget in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Budget') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
Find the slide about AI Ethics in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='AI Ethics') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
"I need a new slide for Competitor Analysis at the start of quarterly_review.slides, then update its content.","1. Use insert_slide_tool(topic='Competitor Analysis', filename='quarterly_review.slides', index=1).
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Competitor Analysis')."
Locate the Competitor Analysis slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Competitor Analysis') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Competitor Analysis')."
Rewrite the Safety Protocols section in contract.docx and then make text red.,"1. Use modify_text_of_doc(filename='contract.docx', topic='Safety Protocols').
2. Use modify_formatting_of_doc(filename='contract.docx', request='make text red')."
Locate the Competitor Analysis slide in pitch_deck.pptx and update its content.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='Competitor Analysis') to identify the target slide.
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Competitor Analysis')."
Rewrite the Safety Protocols section in legal_v4.docx and then set font to Arial.,"1. Use modify_text_of_doc(filename='legal_v4.docx', topic='Safety Protocols').
2. Use modify_formatting_of_doc(filename='legal_v4.docx', request='set font to Arial')."
Find the slide about Competitor Analysis in pitch_deck.pptx and delete it.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='Competitor Analysis') to locate the slide index.
2. Use remove_slide_tool(filename='pitch_deck.pptx', index=`found_index`)."
Find the slide about Q3 Revenue in pitch_deck.pptx and delete it.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='Q3 Revenue') to locate the slide index.
2. Use remove_slide_tool(filename='pitch_deck.pptx', index=`found_index`)."
Rewrite the AI Ethics section in manual.docx and then bold all headers.,"1. Use modify_text_of_doc(filename='manual.docx', topic='AI Ethics').
2. Use modify_formatting_of_doc(filename='manual.docx', request='bold all headers')."
Find the slide about AI Ethics in pitch_deck.pptx and delete it.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='AI Ethics') to locate the slide index.
2. Use remove_slide_tool(filename='pitch_deck.pptx', index=`found_index`)."
Find the slide about Competitor Analysis in quarterly_review.slides and delete it.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Competitor Analysis') to locate the slide index.
2. Use remove_slide_tool(filename='quarterly_review.slides', index=`found_index`)."
Find the slide about Competitor Analysis in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Competitor Analysis') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
Locate the AI Ethics slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='AI Ethics') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='AI Ethics')."
"I need a new slide for Safety Protocols at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='Safety Protocols', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Safety Protocols')."
Locate the Competitor Analysis slide in final_presentation.pptx and update its content.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Competitor Analysis') to identify the target slide.
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Competitor Analysis')."
Locate the Budget slide in pitch_deck.pptx and update its content.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='Budget') to identify the target slide.
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Budget')."
Find the slide about Q3 Revenue in quarterly_review.slides and delete it.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Q3 Revenue') to locate the slide index.
2. Use remove_slide_tool(filename='quarterly_review.slides', index=`found_index`)."
"I need a new slide for Budget at the start of final_presentation.pptx, then update its content.","1. Use insert_slide_tool(topic='Budget', filename='final_presentation.pptx', index=1).
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Budget')."
Rewrite the AI Ethics section in manual.docx and then make text red.,"1. Use modify_text_of_doc(filename='manual.docx', topic='AI Ethics').
2. Use modify_formatting_of_doc(filename='manual.docx', request='make text red')."
"I need a new slide for Competitor Analysis at the start of final_presentation.pptx, then update its content.","1. Use insert_slide_tool(topic='Competitor Analysis', filename='final_presentation.pptx', index=1).
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Competitor Analysis')."
"I need a new slide for Competitor Analysis at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='Competitor Analysis', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Competitor Analysis')."
Locate the Competitor Analysis slide in final_presentation.pptx and update its content.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Competitor Analysis') to identify the target slide.
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Competitor Analysis')."
Find the slide about AI Ethics in quarterly_review.slides and delete it.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='AI Ethics') to locate the slide index.
2. Use remove_slide_tool(filename='quarterly_review.slides', index=`found_index`)."
"I need a new slide for Q3 Revenue at the start of final_presentation.pptx, then update its content.","1. Use insert_slide_tool(topic='Q3 Revenue', filename='final_presentation.pptx', index=1).
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Q3 Revenue')."
"I need a new slide for Q3 Revenue at the start of final_presentation.pptx, then update its content.","1. Use insert_slide_tool(topic='Q3 Revenue', filename='final_presentation.pptx', index=1).
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Q3 Revenue')."
Rewrite the Competitor Analysis section in legal_v4.docx and then make text red.,"1. Use modify_text_of_doc(filename='legal_v4.docx', topic='Competitor Analysis').
2. Use modify_formatting_of_doc(filename='legal_v4.docx', request='make text red')."
"I need a new slide for Competitor Analysis at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='Competitor Analysis', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Competitor Analysis')."
Locate the Q3 Revenue slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Q3 Revenue') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Q3 Revenue')."
"I need a new slide for Budget at the start of final_presentation.pptx, then update its content.","1. Use insert_slide_tool(topic='Budget', filename='final_presentation.pptx', index=1).
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Budget')."
Rewrite the Competitor Analysis section in contract.docx and then bold all headers.,"1. Use modify_text_of_doc(filename='contract.docx', topic='Competitor Analysis').
2. Use modify_formatting_of_doc(filename='contract.docx', request='bold all headers')."
Locate the Q3 Revenue slide in pitch_deck.pptx and update its content.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='Q3 Revenue') to identify the target slide.
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Q3 Revenue')."
Rewrite the Q3 Revenue section in report_2026.pdf and then increase margin size.,"1. Use modify_text_of_doc(filename='report_2026.pdf', topic='Q3 Revenue').
2. Use modify_formatting_of_doc(filename='report_2026.pdf', request='increase margin size')."
Locate the Budget slide in final_presentation.pptx and update its content.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Budget') to identify the target slide.
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Budget')."
Locate the Budget slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Budget') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Budget')."
Rewrite the Competitor Analysis section in report_2026.pdf and then bold all headers.,"1. Use modify_text_of_doc(filename='report_2026.pdf', topic='Competitor Analysis').
2. Use modify_formatting_of_doc(filename='report_2026.pdf', request='bold all headers')."
Find the slide about Q3 Revenue in pitch_deck.pptx and delete it.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='Q3 Revenue') to locate the slide index.
2. Use remove_slide_tool(filename='pitch_deck.pptx', index=`found_index`)."
"I need a new slide for Q3 Revenue at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='Q3 Revenue', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Q3 Revenue')."
"I need a new slide for AI Ethics at the start of final_presentation.pptx, then update its content.","1. Use insert_slide_tool(topic='AI Ethics', filename='final_presentation.pptx', index=1).
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='AI Ethics')."
Rewrite the Budget section in contract.docx and then bold all headers.,"1. Use modify_text_of_doc(filename='contract.docx', topic='Budget').
2. Use modify_formatting_of_doc(filename='contract.docx', request='bold all headers')."
Find the slide about Budget in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Budget') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
Rewrite the Competitor Analysis section in contract.docx and then increase margin size.,"1. Use modify_text_of_doc(filename='contract.docx', topic='Competitor Analysis').
2. Use modify_formatting_of_doc(filename='contract.docx', request='increase margin size')."
Find the slide about Safety Protocols in pitch_deck.pptx and delete it.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='Safety Protocols') to locate the slide index.
2. Use remove_slide_tool(filename='pitch_deck.pptx', index=`found_index`)."
"I need a new slide for Safety Protocols at the start of quarterly_review.slides, then update its content.","1. Use insert_slide_tool(topic='Safety Protocols', filename='quarterly_review.slides', index=1).
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Safety Protocols')."
Find the slide about Safety Protocols in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Safety Protocols') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
Locate the Competitor Analysis slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Competitor Analysis') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Competitor Analysis')."
Rewrite the AI Ethics section in manual.docx and then increase margin size.,"1. Use modify_text_of_doc(filename='manual.docx', topic='AI Ethics').
2. Use modify_formatting_of_doc(filename='manual.docx', request='increase margin size')."
Rewrite the Safety Protocols section in manual.docx and then bold all headers.,"1. Use modify_text_of_doc(filename='manual.docx', topic='Safety Protocols').
2. Use modify_formatting_of_doc(filename='manual.docx', request='bold all headers')."
Rewrite the Competitor Analysis section in contract.docx and then increase margin size.,"1. Use modify_text_of_doc(filename='contract.docx', topic='Competitor Analysis').
2. Use modify_formatting_of_doc(filename='contract.docx', request='increase margin size')."
"I need a new slide for Q3 Revenue at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='Q3 Revenue', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Q3 Revenue')."
Locate the Budget slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Budget') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Budget')."
Rewrite the AI Ethics section in legal_v4.docx and then make text red.,"1. Use modify_text_of_doc(filename='legal_v4.docx', topic='AI Ethics').
2. Use modify_formatting_of_doc(filename='legal_v4.docx', request='make text red')."
Find the slide about AI Ethics in quarterly_review.slides and delete it.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='AI Ethics') to locate the slide index.
2. Use remove_slide_tool(filename='quarterly_review.slides', index=`found_index`)."
Rewrite the Q3 Revenue section in contract.docx and then bold all headers.,"1. Use modify_text_of_doc(filename='contract.docx', topic='Q3 Revenue').
2. Use modify_formatting_of_doc(filename='contract.docx', request='bold all headers')."
Locate the Q3 Revenue slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Q3 Revenue') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Q3 Revenue')."
Rewrite the Safety Protocols section in report_2026.pdf and then increase margin size.,"1. Use modify_text_of_doc(filename='report_2026.pdf', topic='Safety Protocols').
2. Use modify_formatting_of_doc(filename='report_2026.pdf', request='increase margin size')."
Rewrite the Competitor Analysis section in legal_v4.docx and then make text red.,"1. Use modify_text_of_doc(filename='legal_v4.docx', topic='Competitor Analysis').
2. Use modify_formatting_of_doc(filename='legal_v4.docx', request='make text red')."
Find the slide about Safety Protocols in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Safety Protocols') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
Find the slide about Safety Protocols in quarterly_review.slides and delete it.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Safety Protocols') to locate the slide index.
2. Use remove_slide_tool(filename='quarterly_review.slides', index=`found_index`)."
"I need a new slide for Safety Protocols at the start of final_presentation.pptx, then update its content.","1. Use insert_slide_tool(topic='Safety Protocols', filename='final_presentation.pptx', index=1).
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Safety Protocols')."
Locate the AI Ethics slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='AI Ethics') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='AI Ethics')."
Find the slide about Q3 Revenue in pitch_deck.pptx and delete it.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='Q3 Revenue') to locate the slide index.
2. Use remove_slide_tool(filename='pitch_deck.pptx', index=`found_index`)."
Locate the AI Ethics slide in final_presentation.pptx and update its content.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='AI Ethics') to identify the target slide.
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='AI Ethics')."
Find the slide about Safety Protocols in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Safety Protocols') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
"I need a new slide for Budget at the start of final_presentation.pptx, then update its content.","1. Use insert_slide_tool(topic='Budget', filename='final_presentation.pptx', index=1).
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Budget')."
Find the slide about Competitor Analysis in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Competitor Analysis') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
Locate the Budget slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Budget') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Budget')."
Rewrite the Safety Protocols section in report_2026.pdf and then bold all headers.,"1. Use modify_text_of_doc(filename='report_2026.pdf', topic='Safety Protocols').
2. Use modify_formatting_of_doc(filename='report_2026.pdf', request='bold all headers')."
"I need a new slide for Budget at the start of quarterly_review.slides, then update its content.","1. Use insert_slide_tool(topic='Budget', filename='quarterly_review.slides', index=1).
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Budget')."
Find the slide about Competitor Analysis in pitch_deck.pptx and delete it.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='Competitor Analysis') to locate the slide index.
2. Use remove_slide_tool(filename='pitch_deck.pptx', index=`found_index`)."
"I need a new slide for AI Ethics at the start of final_presentation.pptx, then update its content.","1. Use insert_slide_tool(topic='AI Ethics', filename='final_presentation.pptx', index=1).
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='AI Ethics')."
"I need a new slide for Safety Protocols at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='Safety Protocols', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Safety Protocols')."
Locate the Budget slide in final_presentation.pptx and update its content.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Budget') to identify the target slide.
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Budget')."
Locate the Q3 Revenue slide in pitch_deck.pptx and update its content.,"1. Use find_slide_tool(filename='pitch_deck.pptx', topic='Q3 Revenue') to identify the target slide.
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Q3 Revenue')."
Rewrite the Safety Protocols section in report_2026.pdf and then increase margin size.,"1. Use modify_text_of_doc(filename='report_2026.pdf', topic='Safety Protocols').
2. Use modify_formatting_of_doc(filename='report_2026.pdf', request='increase margin size')."
Locate the Competitor Analysis slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Competitor Analysis') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Competitor Analysis')."
Locate the Q3 Revenue slide in final_presentation.pptx and update its content.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Q3 Revenue') to identify the target slide.
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Q3 Revenue')."
"I need a new slide for Q3 Revenue at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='Q3 Revenue', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Q3 Revenue')."
"I need a new slide for Safety Protocols at the start of quarterly_review.slides, then update its content.","1. Use insert_slide_tool(topic='Safety Protocols', filename='quarterly_review.slides', index=1).
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Safety Protocols')."
Rewrite the Competitor Analysis section in report_2026.pdf and then bold all headers.,"1. Use modify_text_of_doc(filename='report_2026.pdf', topic='Competitor Analysis').
2. Use modify_formatting_of_doc(filename='report_2026.pdf', request='bold all headers')."
Find the slide about AI Ethics in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='AI Ethics') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
Rewrite the AI Ethics section in legal_v4.docx and then make text red.,"1. Use modify_text_of_doc(filename='legal_v4.docx', topic='AI Ethics').
2. Use modify_formatting_of_doc(filename='legal_v4.docx', request='make text red')."
"I need a new slide for Safety Protocols at the start of quarterly_review.slides, then update its content.","1. Use insert_slide_tool(topic='Safety Protocols', filename='quarterly_review.slides', index=1).
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Safety Protocols')."
Find the slide about Competitor Analysis in quarterly_review.slides and delete it.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Competitor Analysis') to locate the slide index.
2. Use remove_slide_tool(filename='quarterly_review.slides', index=`found_index`)."
"I need a new slide for Q3 Revenue at the start of final_presentation.pptx, then update its content.","1. Use insert_slide_tool(topic='Q3 Revenue', filename='final_presentation.pptx', index=1).
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='Q3 Revenue')."
Locate the AI Ethics slide in final_presentation.pptx and update its content.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='AI Ethics') to identify the target slide.
2. Use modify_content_of_presentation(filename='final_presentation.pptx', topic='AI Ethics')."
Rewrite the AI Ethics section in report_2026.pdf and then make text red.,"1. Use modify_text_of_doc(filename='report_2026.pdf', topic='AI Ethics').
2. Use modify_formatting_of_doc(filename='report_2026.pdf', request='make text red')."
Rewrite the Competitor Analysis section in manual.docx and then make text red.,"1. Use modify_text_of_doc(filename='manual.docx', topic='Competitor Analysis').
2. Use modify_formatting_of_doc(filename='manual.docx', request='make text red')."
Find the slide about Budget in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Budget') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
"I need a new slide for AI Ethics at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='AI Ethics', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='AI Ethics')."
"I need a new slide for Budget at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='Budget', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Budget')."
Locate the Q3 Revenue slide in quarterly_review.slides and update its content.,"1. Use find_slide_tool(filename='quarterly_review.slides', topic='Q3 Revenue') to identify the target slide.
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Q3 Revenue')."
"I need a new slide for Competitor Analysis at the start of pitch_deck.pptx, then update its content.","1. Use insert_slide_tool(topic='Competitor Analysis', filename='pitch_deck.pptx', index=1).
2. Use modify_content_of_presentation(filename='pitch_deck.pptx', topic='Competitor Analysis')."
"I need a new slide for Budget at the start of quarterly_review.slides, then update its content.","1. Use insert_slide_tool(topic='Budget', filename='quarterly_review.slides', index=1).
2. Use modify_content_of_presentation(filename='quarterly_review.slides', topic='Budget')."
Find the slide about Budget in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Budget') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
Rewrite the AI Ethics section in report_2026.pdf and then bold all headers.,"1. Use modify_text_of_doc(filename='report_2026.pdf', topic='AI Ethics').
2. Use modify_formatting_of_doc(filename='report_2026.pdf', request='bold all headers')."
Find the slide about Safety Protocols in final_presentation.pptx and delete it.,"1. Use find_slide_tool(filename='final_presentation.pptx', topic='Safety Protocols') to locate the slide index.
2. Use remove_slide_tool(filename='final_presentation.pptx', index=`found_index`)."
